Season,Year,League,Team,C,F1,F2,G1,G2
2018-19,2018,NBA,1st,Nikola Jokić ,Giannis Antetokounmpo ,Paul George ,James Harden ,Stephen Curry 
2018-19,2018,NBA,2nd,Joel Embiid ,Kevin Durant ,Kawhi Leonard ,Damian Lillard ,Kyrie Irving 
2018-19,2018,NBA,3rd,Rudy Gobert ,LeBron James ,Blake Griffin ,Kemba Walker ,Russell Westbrook 
2017-18,2017,NBA,1st,Anthony Davis ,LeBron James ,Kevin Durant ,Damian Lillard ,James Harden 
2017-18,2017,NBA,2nd,Joel Embiid ,Giannis Antetokounmpo ,LaMarcus Aldridge ,Russell Westbrook ,DeMar DeRozan 
2017-18,2017,NBA,3rd,Karl-Anthony Towns ,Jimmy Butler ,Paul George ,Stephen Curry ,Victor Oladipo 
2016-17,2016,NBA,1st,Anthony Davis ,LeBron James ,Kawhi Leonard ,James Harden ,Russell Westbrook 
2016-17,2016,NBA,2nd,Rudy Gobert ,Giannis Antetokounmpo ,Kevin Durant ,Stephen Curry ,Isaiah Thomas 
2016-17,2016,NBA,3rd,DeAndre Jordan ,Draymond Green ,Jimmy Butler ,John Wall ,DeMar DeRozan 
2015-16,2015,NBA,1st,DeAndre Jordan ,LeBron James ,Kawhi Leonard ,Stephen Curry ,Russell Westbrook 
2015-16,2015,NBA,2nd,DeMarcus Cousins ,Kevin Durant ,Draymond Green ,Chris Paul ,Damian Lillard 
2015-16,2015,NBA,3rd,Andre Drummond ,Paul George ,LaMarcus Aldridge ,Klay Thompson ,Kyle Lowry 
2014-15,2014,NBA,1st,Marc Gasol ,LeBron James ,Anthony Davis ,Stephen Curry ,James Harden 
2014-15,2014,NBA,2nd,DeMarcus Cousins ,Pau Gasol ,LaMarcus Aldridge ,Russell Westbrook ,Chris Paul 
2014-15,2014,NBA,3rd,DeAndre Jordan ,Blake Griffin ,Tim Duncan ,Klay Thompson ,Kyrie Irving 
2013-14,2013,NBA,1st,Joakim Noah ,Kevin Durant ,LeBron James ,James Harden ,Chris Paul 
2013-14,2013,NBA,2nd,Dwight Howard ,Blake Griffin ,Kevin Love ,Stephen Curry ,Tony Parker 
2013-14,2013,NBA,3rd,Al Jefferson ,Paul George ,LaMarcus Aldridge ,Goran Dragic,Damian Lillard 
2012-13,2012,NBA,1st,Tim Duncan ,Kevin Durant ,LeBron James ,Kobe Bryant ,Chris Paul 
2012-13,2012,NBA,2nd,Marc Gasol ,Carmelo Anthony ,Blake Griffin ,Tony Parker ,Russell Westbrook 
2012-13,2012,NBA,3rd,Dwight Howard ,Paul George ,David Lee ,James Harden ,Dwyane Wade 
11-Dec,2011,NBA,1st,Dwight Howard ,Kevin Durant ,LeBron James ,Kobe Bryant ,Chris Paul 
11-Dec,2011,NBA,2nd,Andrew Bynum ,Blake Griffin ,Kevin Love ,Tony Parker ,Russell Westbrook 
11-Dec,2011,NBA,3rd,Tyson Chandler ,Carmelo Anthony ,Dirk Nowitzki ,Rajon Rondo ,Dwyane Wade 
10-Nov,2010,NBA,1st,Dwight Howard ,Kevin Durant ,LeBron James ,Kobe Bryant ,Derrick Rose 
10-Nov,2010,NBA,2nd,Amar'e Stoudemire ,Pau Gasol ,Dirk Nowitzki ,Dwyane Wade ,Russell Westbrook 
10-Nov,2010,NBA,3rd,Al Horford ,LaMarcus Aldridge ,Zach Randolph ,Manu Ginobili,Chris Paul 
09-Oct,2009,NBA,1st,Dwight Howard ,Kevin Durant ,LeBron James ,Kobe Bryant ,Dwyane Wade 
09-Oct,2009,NBA,2nd,Amar'e Stoudemire ,Carmelo Anthony ,Dirk Nowitzki ,Steve Nash ,Deron Williams 
09-Oct,2009,NBA,3rd,Andrew Bogut ,Tim Duncan ,Pau Gasol ,Joe Johnson ,Brandon Roy 
08-Sep,2008,NBA,1st,Dwight Howard ,LeBron James ,Dirk Nowitzki ,Kobe Bryant ,Dwyane Wade 
08-Sep,2008,NBA,2nd,Yao Ming ,Tim Duncan ,Paul Pierce ,Chris Paul ,Brandon Roy 
08-Sep,2008,NBA,3rd,Shaquille O'Neal ,Carmelo Anthony ,Pau Gasol ,Chauncey Billups ,Tony Parker 
07-Aug,2007,NBA,1st,Dwight Howard ,Kevin Garnett ,LeBron James ,Kobe Bryant ,Chris Paul 
07-Aug,2007,NBA,2nd,Amar'e Stoudemire ,Tim Duncan ,Dirk Nowitzki ,Steve Nash ,Deron Williams 
07-Aug,2007,NBA,3rd,Yao Ming ,Carlos Boozer ,Paul Pierce ,Manu Ginobili,Tracy McGrady 
06-Jul,2006,NBA,1st,Amar'e Stoudemire ,Tim Duncan ,Dirk Nowitzki ,Kobe Bryant ,Steve Nash 
06-Jul,2006,NBA,2nd,Yao Ming ,Chris Bosh ,LeBron James ,Gilbert Arenas ,Tracy McGrady 
06-Jul,2006,NBA,3rd,Dwight Howard ,Carmelo Anthony ,Kevin Garnett ,Chauncey Billups ,Dwyane Wade 
05-Jun,2005,NBA,1st,Shaquille O'Neal ,LeBron James ,Dirk Nowitzki ,Kobe Bryant ,Steve Nash 
05-Jun,2005,NBA,2nd,Ben Wallace ,Elton Brand ,Tim Duncan ,Chauncey Billups ,Dwyane Wade 
05-Jun,2005,NBA,3rd,Yao Ming ,Carmelo Anthony ,Shawn Marion ,Gilbert Arenas ,Allen Iverson 
04-May,2004,NBA,1st,Shaquille O'Neal ,Tim Duncan ,Dirk Nowitzki ,Allen Iverson ,Steve Nash 
04-May,2004,NBA,2nd,Amar'e Stoudemire ,Kevin Garnett ,LeBron James ,Ray Allen ,Dwyane Wade 
04-May,2004,NBA,3rd,Ben Wallace ,Shawn Marion ,Tracy McGrady ,Gilbert Arenas ,Kobe Bryant 
03-Apr,2003,NBA,1st,Shaquille O'Neal ,Tim Duncan ,Kevin Garnett ,Kobe Bryant ,Jason Kidd 
